"행정구역","2024년07월_계_총인구수","2024년07월_계_연령구간인구수","2024년07월_계_0세","2024년07월_계_1세","2024년07월_계_2세","2024년07월_계_3세","2024년07월_계_4세","2024년07월_계_5세","2024년07월_계_6세","2024년07월_계_7세","2024년07월_계_8세","2024년07월_계_9세","2024년07월_계_10세","2024년07월_계_11세","2024년07월_계_12세","2024년07월_계_13세","2024년07월_계_14세","2024년07월_계_15세","2024년07월_계_16세","2024년07월_계_17세","2024년07월_계_18세","2024년07월_계_19세","2024년07월_계_20세","2024년07월_계_21세","2024년07월_계_22세","2024년07월_계_23세","2024년07월_계_24세","2024년07월_계_25세","2024년07월_계_26세","2024년07월_계_27세","2024년07월_계_28세","2024년07월_계_29세","2024년07월_계_30세","2024년07월_계_31세","2024년07월_계_32세","2024년07월_계_33세","2024년07월_계_34세","2024년07월_계_35세","2024년07월_계_36세","2024년07월_계_37세","2024년07월_계_38세","2024년07월_계_39세","2024년07월_계_40세","2024년07월_계_41세","2024년07월_계_42세","2024년07월_계_43세","2024년07월_계_44세","2024년07월_계_45세","2024년07월_계_46세","2024년07월_계_47세","2024년07월_계_48세","2024년07월_계_49세","2024년07월_계_50세","2024년07월_계_51세","2024년07월_계_52세","2024년07월_계_53세","2024년07월_계_54세","2024년07월_계_55세","2024년07월_계_56세","2024년07월_계_57세","2024년07월_계_58세","2024년07월_계_59세","2024년07월_계_60세","2024년07월_계_61세","2024년07월_계_62세","2024년07월_계_63세","2024년07월_계_64세","2024년07월_계_65세","2024년07월_계_66세","2024년07월_계_67세","2024년07월_계_68세","2024년07월_계_69세","2024년07월_계_70세","2024년07월_계_71세","2024년07월_계_72세","2024년07월_계_73세","2024년07월_계_74세","2024년07월_계_75세","2024년07월_계_76세","2024년07월_계_77세","2024년07월_계_78세","2024년07월_계_79세","2024년07월_계_80세","2024년07월_계_81세","2024년07월_계_82세","2024년07월_계_83세","2024년07월_계_84세","2024년07월_계_85세","2024년07월_계_86세","2024년07월_계_87세","2024년07월_계_88세","2024년07월_계_89세","2024년07월_계_90세","2024년07월_계_91세","2024년07월_계_92세","2024년07월_계_93세","2024년07월_계_94세","2024년07월_계_95세","2024년07월_계_96세","2024년07월_계_97세","2024년07월_계_98세","2024년07월_계_99세","2024년07월_계_100세 이상"
"경기도 경기도 양평군 (4183000000)","126,668","126,668","421","490","496","508","542","584","657","809","816","922","921","951","1,052","1,075","1,009","1,017","1,050","990","994","1,046","942","830","934","915","987","943","998","953","1,029","1,104","1,072","1,104","1,125","1,036","1,033","993","1,017","985","1,154","1,169","1,305","1,437","1,716","1,609","1,764","1,576","1,533","1,622","1,613","1,819","1,958","2,091","2,055","2,190","2,135","2,234","2,124","2,191","2,237","2,420","2,290","2,786","2,568","3,264","3,097","2,864","2,811","2,588","2,519","2,717","2,115","2,051","2,094","1,372","1,458","1,459","1,458","1,462","1,067","1,139","1,082","1,146","1,082","905","745","762","613","586","513","412","338","267","204","132","126","99","61","46","24","14","30"
"경기도 양평군 양평읍(4183025000)","37,283","37,283","192","216","195","198","243","227","268","288","302","337","323","345","394","361","376","373","392","406","354","359","354","325","352","380","365","386","377","364","405","431","438","444","420","412","370","390","407","370","416","419","443","533","632","560","623","558","525","524","552","631","674","714","685","637","649","652","628","612","638","630","571","679","621","754","660","658","603","546","521","576","449","422","424","286","257","302","313","298","215","227","221","226","241","192","154","148","116","94","87","89","63","60","34","28","28","14","10","11","2","2","7"
"경기도 양평군 강상면(4183031000)","10,029","10,029","42","49","60","53","43","65","71","97","74","94","104","90","94","102","82","106","90","73","87","80","52","60","82","60","70","62","80","66","73","80","74","88","83","66","88","74","76","81","108","125","146","114","165","159","146","130","145","162","153","166","184","155","148","148","158","181","166","152","151","154","187","204","208","257","227","199","216","189","166","200","166","166","164","100","111","111","103","133","79","74","63","76","79","48","42","59","47","38","30","26","12","21","10","8","10","3","1","3","3","2","1"
"경기도 양평군 강하면(4183032000)","4,846","4,846","16","9","13","13","19","14","11","22","10","21","13","16","18","27","16","13","27","21","20","18","34","22","31","29","32","29","27","30","32","34","37","32","27","31","32","34","32","25","37","31","45","42","45","37","49","41","39","39","44","55","51","71","54","93","84","77","77","85","95","107","120","121","120","182","162","148","160","132","139","167","110","96","108","74","95","88","79","75","52","53","46","41","55","43","25","36","22","23","13","18","13","8","8","7","4","5","2","8","0","0","3"
"경기도 양평군 양서면(4183033000)","13,982","13,982","39","39","55","56","50","53","57","77","88","79","86","96","99","102","108","104","99","99","124","155","121","100","99","87","98","100","108","112","113","115","121","113","121","90","123","105","97","100","122","112","125","137","187","178","214","155","164","166","142","197","196","238","251","256","256","285","243","258","234","282","261","303","285","362","363","321","341","314","264","337","231","222","229","172","197","161","193","175","121","131","120","150","115","95","81","84","59","59","60","48","37","31","25","15","6","12","8","1","4","0","3"
"경기도 양평군 옥천면(4183034000)","8,014","8,014","15","31","33","27","36","30","38","46","49","49","45","55","71","76","59","67","56","47","42","51","38","37","44","57","65","55","66","58","68","73","60","65","73","66","51","57","56","70","79","75","92","92","102","103","93","90","93","101","101","105","97","118","138","142","141","137","129","133","150","179","158","186","173","226","216","208","197","178","186","172","138","129","152","106","101","96","81","98","77","85","58","66","69","68","53","45","44","42","33","23","19","20","9","6","10","7","4","1","1","1","0"
"경기도 양평군 서종면(4183035000)","9,948","9,948","23","30","23","33","26","47","52","81","66","92","94","80","96","121","84","82","105","80","79","61","61","52","59","55","60","54","49","54","54","46","60","56","65","73","64","74","70","72","80","90","122","145","135","136","128","150","137","151","146","178","154","164","182","210","161","171","168","191","166","210","188","218","231","257","221","243","216","209","259","215","196","178","154","118","128","123","114","112","84","84","78","84","56","56","51","41","35","43","35","25","20","18","12","12","7","5","4","4","5","1","0"
"경기도 양평군 단월면(4183036000)","3,905","3,905","3","6","4","8","6","8","11","7","13","13","23","13","26","28","43","25","25","13","17","19","14","15","12","21","17","18","14","21","21","30","24","29","18","25","18","19","27","20","24","19","33","43","36","35","42","37","29","35","44","41","48","62","49","69","56","66","68","79","77","83","64","114","91","133","150","108","113","107","104","109","76","105","90","44","64","56","53","58","40","42","52","61","43","36","48","38","32","21","29","20","13","8","12","6","5","4","1","2","2","1","1"
"경기도 양평군 청운면(4183037000)","3,765","3,765","3","4","5","4","5","9","7","12","12","8","18","19","15","12","8","12","10","12","16","15","23","7","22","17","16","15","22","13","26","23","25","19","25","13","17","18","20","12","19","17","22","20","34","33","34","26","26","44","28","33","54","50","50","56","58","55","64","76","85","87","75","93","88","123","131","123","110","93","111","115","103","93","91","64","52","73","64","48","59","51","53","47","54","44","43","32","34","41","41","26","29","9","16","10","3","4","2","1","2","2","2"
"경기도 양평군 양동면(4183038000)","4,520","4,520","4","7","12","9","9","8","9","14","15","9","16","17","22","14","17","22","26","22","22","15","25","19","17","19","29","24","27","28","16","30","23","23","28","23","33","19","23","26","32","20","31","31","36","38","36","31","32","39","35","32","68","50","56","66","78","78","69","86","101","104","105","159","122","150","142","127","128","122","120","153","104","113","88","77","83","71","73","66","41","60","64","68","48","44","44","49","38","45","21","19","32","11","19","12","10","9","8","2","0","0","3"
